date,temperature_celcius,wind_km/h,pressure_millibar,precipitation_mm,rain_bool,humidity
2017-04-18,8,14,1020.97,0.7,true,45
2017-06-27,24,7,1008.49,5.0,true,68
2017-05-21,12,6,1023.2,0.0,false,67
2017-03-10,9,8,1024.28,0.0,false,72
2017-04-22,10,5,1024.07,0.0,false,46
2017-03-26,9,11,1020.63,0.6,true,70
2017-02-09,3,13,1019.47,0.2,true,74
2017-03-30,12,4,1025.39,0.0,false,62
2017-02-05,0,3,1004.79,13.0,true,95
2017-06-07,14,12,1020.89,0.0,false,54
2017-05-17,18,5,1020.69,0.0,false,61
2017-02-25,4,9,1020.74,0.0,false,63
2017-04-14,12,4,1016.01,0.0,false,56
2017-04-02,10,8,1016.85,0.1,true,74
2017-05-01,8,17,1014.79,1.0,true,81
2017-06-11,22,5,1018.36,0.0,false,62
2017-05-13,14,4,1013.99,0.4,true,83
2017-06-03,21,6,1014.92,6.0,true,75
